text,label,custom_id,translation
"Wow, can’t wait to go into ANOTHER lockdown 🙄",1,translation-339,"Vau, komaj čakam, da gremo v ŠE ENO zaprtje 🙄"
@yourfavmichaela It’s never to late to take a nap,0,translation-2005,@yourfavmichaela Nikoli ni prepozno za dremanje
my favorite gay drama is the social network,1,translation-958,moja najljubša gejevska drama je družbeno omrežje
I simply love this clip. Thank you.,0,translation-1772,Preprosto obožujem ta posnetek. Hvala.
I can’t wait for Boris to wait until after Christmas to lock us down again so that I can’t go to Poland like I’ve been waiting for for half a year!,1,translation-541,"Komaj čakam, da nas Boris znova zapre po božiču, tako da ne bom mogel iti na Poljsko, kar že pol leta komaj čakam!"
I just wanna have the same love for life as Phil from Modern Family is that too much to ask,0,translation-2109,"Samo želim si imeti enako ljubezen do življenja kot Phil iz Modern Family, je to preveč za prositi?"
Everybody loves Christmas! It such a great time to be jolly!,1,translation-962,Vsi obožujejo božič! To je tako izvrsten čas za veselje!
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,translation-986,"Ali ni super, ko se pripraviš na odpovedan zmenek dve uri prezgodaj . . . ja, nisem bil/a nič kaj navdušen/a"
summer just fully went to me: speaking of singstar ... hun ? we weren’t even talking,0,translation-1380,poletje mi je reklo: ko že govorimo o Singstaru ... draga? saj sploh nismo govorili
"Oh, no, totally, don't wear a mask and cough and splutter around me. COVID'll be a fun little time..",1,translation-624,"Oh, ja, seveda, sploh ne nosi maske in kašljaj ter kihaj okoli mene. COVID bo en sam užitek.."
"Hey @Honda, any chance we could see a civic in Rocket League? 😉",0,translation-1500,"Hej @Honda, ali obstaja možnost, da bi lahko videli Civica v Rocket League? 😉"
My president https://t.co/xaH8cLpdQV,0,translation-1627,Moj predsednik https://t.co/xaH8cLpdQV
thats it im packing my things and moving to italy see u all in a month xo,1,translation-316,"To je to, pakiram stvari in se selim v Italijo. Se vidimo čez en mesec. xo"
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",1,translation-385,"Če vaša spletna stran še vedno vsebuje gumb za deljenje na Google Plus, mi oprostite, če se ne spotikam od navdušenja, da bi vašo informacijo jemal kot verodostojno ali ažurno."
it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎,1,translation-454,"Smešno je, da misli moja mama, da ne občutim kesanja, medtem ko vsak dan čutim kesanje že za to, da obstajam 😎"
We do have the best fans well done to everyone involved ❤️🇱🇻,0,translation-1491,"Imamo najboljše navijače, čestitke vsem vpletenim ❤️🇱🇻"
The only plan now is non compliance. They have scared the last of us with shameful scientific predictions,0,translation-1619,Edini načrt zdaj je neupoštevanje. Zadnje med nami so prestrašili s sramotnimi znanstvenimi napovedmi.
remember when everyone’s feeds were just retweeted giveaways looool those were the days,1,translation-50,"Se spomniš, ko so bili vsi naši feedi samo retviti nagradnih iger loool tisti časi so bili ey"
"Also, two whole episodes this season with no D'avin at all. ☹️

#killjoys",0,translation-2017,"Tudi dve celi epizodi te sezone brez D'avina. ☹️

#killjoys"
They really said you can’t have nice weather AND no lockdown for your bday this year huh,1,translation-258,"Res so rekli, da letos ne moreš imeti lepega vremena IN brez zaprtja za tvoj rojstni dan, kajne?"
. @atptour The wearing and non-wearing of face masks by support team and family of players at ATP events is shockingly bad and setting a really poor example to anyone watching. Is it within your remit to encourage or enforce better adherence to effective face mask wearing?,0,translation-1909,"@atptour Nošenje in nenošenje zaščitnih mask s strani podporne ekipe in družin igralcev na ATP dogodkih je šokantno slabo in daje res slab zgled vsem, ki to gledajo. Ali je v vaši pristojnosti, da spodbudite ali uveljavite boljšo uporabo učinkovitih zaščitnih mask?"
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes 😭,0,translation-1239,"Danes sem slišal nekoga v molitvi resno reči ""Ati Bog"" in akslfljsd, zakaj so kristjani včasih tako sramotni 😭"
why is the weather having a mid life crisis,1,translation-856,zakaj ima vreme krizo srednjih let
@AvatarOdin @aubviouslynot sounds like the american dream ngl,1,translation-506,"@AvatarOdin @aubviouslynot zveni kot ameriške sanje, da, ne bom lagal."
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",1,translation-429,"Ah ja, res so peči na drva v podsaharski Afriki tiste, ki povzročajo podnebno krizo 🧠 https://t.co/lShlgWYGOX"
3rd shift down already told em bout the clowns they’re not fans,0,translation-1480,"Tretja izmena je že obvestila o klovnih, niso oboževalci."
"#NoMoreLockdowns #NoMoreLockdowns, not great. people  who promote this stuff are pretty irresponsible. The new variants now emerging appear to be adversely affecting younger people, take a look at South America.  keep yourselves safe and remain cautious.",0,translation-1661,"#NoMoreLockdowns #NoMoreLockdowns, ni super. ljudje, ki promovirajo te stvari, so precej neodgovorni. Nove različice, ki se zdaj pojavljajo, očitno negativno vplivajo na mlajše ljudi, poglejte Južno Ameriko. Pazite na sebe in bodite previdni."
Ahhh I get to listen to a cement mixer all day. Awesome.,1,translation-155,"Ahhh, ves dan bom poslušal mešalec za cement. Super."
Can't wait to get a kebab,0,translation-1496,"Komaj čakam, da dobim kebab"
Ma'am this is a bnb why are you decorating this man's Christmas tree with his child,0,translation-1755,"Gospa, tukaj je prenočišče z zajtrkom, zakaj okrašujete božično drevo tega moškega z njegovim otrokom?"
i really hate goodreads notification system IF I DECLINE A FRIEND REQUEST TAKE IT OUT MY NOTIFS 😭,0,translation-2102,"resnično sovražim Goodreadsov sistem obveščanja, ČE ZAVRNEM PROŠNJO ZA PRIJATELJSTVO, JO ODSTRANITE IZ OPOZORIL 😭"
@BeschlossDC I stayed home sick from elementary school and watched it at my grandma’s house.  I don’t think I understood exactly what happened and that it was such a tragedy.,0,translation-1871,"@BeschlossDC Ostal sem doma bolan iz osnovne šole in sem si to ogledal pri babici. Mislim, da nisem popolnoma razumel, kaj se je zgodilo in da je bila to taka tragedija."
