text,label,custom_id
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,1,translation-0
@SrutisJay one of them smonks weed so it's super worth it /s,1,translation-1
Sure you do! Doesn't everyone?! I do it everyday!!!,1,translation-2
Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,1,translation-3
"I’m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT 🤠🥰",1,translation-4
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1,translation-5
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,1,translation-6
The omicron variant has decided to give us all a wonderful gift for Christmas. For that one day it has chosen to not be spread between people at all. This gift will make me feel a lot better about being around loved ones who still refuse to get the vaccine or to wear a mask at the very least.   ,1,translation-7
Ah gotta love that Friday morning burnt out feeling 🌄,1,translation-8
Thanks @myhermes for losing my parcel but giving me someone else's. I'm nice enough to go give it to them though. Please DM me back soon 😐,1,translation-9
In sunny spain at the moment!!! Hows it all in england?,1,translation-10
"Using an educator discount, I receive 20% off Manga at B&amp;N. This is the only reason I am a teacher.",1,translation-11
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",1,translation-12
came home to realize my family found and read my quarantine journal lmao lucky I didn’t get involuntarily committed wtf,1,translation-13
A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶,1,translation-14
"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????",1,translation-15
"I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.",1,translation-16
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",1,translation-17
I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike,1,translation-18
"@kirkkorner ""But it's a deterrent"" 🙄",1,translation-19
I love when I start choking on my water in my 8 person class,1,translation-20
@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!,1,translation-21
James Harden is allowed to travel every time he drives apparently,1,translation-22
"I absolutely loveee not getting a graduation ceremony after I spent 3 years on my degree and ended up over £50,000 in debt",1,translation-23
