label,custom_id,prediction
1,translation-575,1
0,translation-1315,0
1,translation-40,1
0,translation-1756,1
1,translation-1058,1
1,translation-946,1
0,translation-1412,1
0,translation-1568,1
0,translation-1565,0
0,translation-1523,0
0,translation-1240,0
1,translation-416,0
0,translation-1999,0
0,translation-1560,1
0,translation-1816,0
1,translation-198,0
1,translation-255,1
1,translation-568,1
0,translation-1649,0
1,translation-324,1
0,translation-1619,0
0,translation-1245,0
0,translation-1807,0
1,translation-440,1
0,translation-1370,1
0,translation-1832,0
0,translation-1946,1
1,translation-673,1
0,translation-1426,0
0,translation-2013,0
1,translation-518,1
0,translation-1784,0
1,translation-102,1
0,translation-1126,0
1,translation-303,1
1,translation-969,0
0,translation-1684,1
0,translation-1256,1
0,translation-1877,0
1,translation-352,0
0,translation-1320,1
0,translation-1502,0
0,translation-1986,0
1,translation-34,1
0,translation-1776,0
0,translation-1895,0
1,translation-317,1
0,translation-1614,1
1,translation-1019,1
0,translation-2116,0
0,translation-1544,1
1,translation-58,0
1,translation-668,0
1,translation-385,1
0,translation-1838,1
0,translation-1750,0
0,translation-1930,1
1,translation-951,0
1,translation-812,0
0,translation-2074,0
1,translation-448,1
1,translation-648,1
0,translation-1373,0
1,translation-558,1
0,translation-1371,0
1,translation-9,1
0,translation-1768,0
1,translation-571,1
0,translation-1900,0
0,translation-1107,0
0,translation-1640,1
0,translation-1325,1
0,translation-2092,0
0,translation-1362,1
0,translation-1592,1
1,translation-552,0
0,translation-1336,0
0,translation-1664,0
1,translation-610,1
1,translation-329,1
0,translation-1175,1
0,translation-1276,0
0,translation-1458,0
0,translation-1648,0
0,translation-1306,0
1,translation-1022,1
1,translation-849,1
0,translation-1918,0
0,translation-1424,0
0,translation-1774,1
0,translation-1585,0
1,translation-74,0
0,translation-1249,1
1,translation-715,0
1,translation-471,0
1,translation-592,1
1,translation-1033,1
1,translation-98,1
1,translation-325,1
0,translation-1860,1
1,translation-968,1
1,translation-690,1
0,translation-2053,0
0,translation-1380,0
1,translation-173,1
1,translation-290,1
1,translation-935,0
0,translation-1553,0
1,translation-450,0
1,translation-153,1
0,translation-1516,0
0,translation-1901,0
1,translation-768,1
0,translation-1243,0
1,translation-873,0
1,translation-838,1
1,translation-831,1
1,translation-505,1
0,translation-1218,0
1,translation-378,1
1,translation-334,1
1,translation-536,1
1,translation-777,0
0,translation-1296,1
1,translation-167,1
0,translation-1503,0
0,translation-1797,0
1,translation-199,0
1,translation-406,1
0,translation-1685,0
1,translation-586,1
0,translation-2040,0
1,translation-774,0
1,translation-771,0
1,translation-987,1
1,translation-910,0
0,translation-1469,0
0,translation-1849,1
0,translation-1625,0
1,translation-1055,1
0,translation-1162,1
1,translation-718,1
