label,custom_id,no_fine_tuning_gpt4_prediction,no_fine_tuning_gpt4_logprobs
1,translation-4,1,-1.0280384e-06
1,translation-9,1,-0.00020604367
1,translation-27,1,-4.0722858000000015e-05
1,translation-28,1,-5.3193703e-06
1,translation-33,1,-0.0007127895
1,translation-34,1,-0.00026288547
1,translation-40,1,-2.8325678000000002e-05
1,translation-45,1,-4.608702e-05
1,translation-52,1,-2.4584822e-06
1,translation-55,1,-0.000337607869999
1,translation-56,1,-3.0545007e-06
1,translation-58,1,-9.610702e-06
1,translation-63,1,-0.00016027313999900002
1,translation-69,1,-0.0031809213000000003
1,translation-74,1,-4.6444635e-05
1,translation-98,1,-4.6206227000000005e-05
1,translation-99,1,-2.8160932e-06
1,translation-102,1,-1.6240565999999989e-06
1,translation-103,1,-4.608702e-05
1,translation-110,1,-7.910644e-05
1,translation-113,1,-7.9702455e-05
1,translation-117,1,-4.8425554e-06
1,translation-118,0,-3.1281633e-07
1,translation-119,1,-8.657073e-06
1,translation-123,1,-7.8748824e-05
1,translation-130,1,-8.657073e-06
1,translation-131,1,-1.2664457e-06
1,translation-135,1,-4.723352e-06
1,translation-137,1,-4.0961266000000004e-05
1,translation-140,1,-0.000335939
1,translation-141,1,-0.00020795092999900002
1,translation-153,1,-2.6968896e-06
1,translation-161,1,-1.0087517e-05
1,translation-162,1,-9.088346400000001e-07
1,translation-166,1,-1.0564331000000001e-05
1,translation-167,1,-2.9517714000000005e-05
1,translation-173,1,-4.334534e-05
1,translation-179,1,-4.6206227000000005e-05
1,translation-185,1,-0.00012523093
1,translation-187,1,-3.631232e-05
1,translation-191,1,-2.2127088000000004e-05
1,translation-194,1,-0.00016063073
1,translation-196,0,-1.6882126e-05
1,translation-198,1,-3.7027545000000014e-05
1,translation-199,1,-0.0017036292
1,translation-229,1,-2.220075e-06
1,translation-232,1,-0.000277782269999
1,translation-237,1,-1.8908588e-05
1,translation-241,1,-2.4034345e-05
1,translation-246,1,-0.0052368375
1,translation-249,1,-5.915388599999999e-06
1,translation-252,1,-0.0009137284399990001
1,translation-255,1,-1.743260299999999e-06
1,translation-258,1,-1.3425220000000001e-05
1,translation-266,1,-5.5122365e-07
